#{"t_start": 1768235997.5382318, "env_id": "None"}
r,l,t
0.95,6,33.720531
0.95,6,33.743546
0.95,6,33.764051
0.95,6,33.790076
0.95,6,33.815592
0.95,6,33.845117
0.91,10,33.88515
0.95,6,33.907524
0.90000004,11,33.954415
-1.03,4,33.966422
0.95,6,33.989944
0.95,6,34.016507
0.95,6,34.044531
0.95,6,34.070549
0.95,6,34.094072
0.95,6,34.123587
0.93,8,34.158623
0.95,6,34.187143
0.95,6,34.215669
0.95,6,34.246693
0.95,6,34.274209
0.95,6,34.300793
0.95,6,34.32938
0.92,9,34.37141
0.95,6,34.397934
0.95,6,34.421947
0.95,6,34.451502
0.92,9,34.496027
0.93,8,34.520546
0.95,6,34.539058
0.95,6,34.568083
0.95,6,34.595095
0.88,13,34.651814
0.88,13,34.706351
0.90000004,11,34.757621
0.95,6,34.779646
0.94,7,34.80367
-0.29999998,30,34.910758
0.95,6,34.93329
0.90000004,11,34.971815
0.95,6,34.994838
0.94,7,35.015854
0.95,6,35.036367
0.92,9,35.065893
0.94,7,35.090929
0.94,7,35.119951
0.92,9,35.151485
0.91,10,35.186337
0.94,7,35.20886
0.91,10,35.248896
0.89,12,35.292591
0.91,10,35.326623
0.92,9,35.361652
0.93,8,35.388679
0.93,8,35.417209
0.94,7,35.440734
0.95,6,35.461251
0.93,8,35.491789
0.94,7,35.516806
0.93,8,35.543835
0.90000004,11,35.580867
0.93,8,35.611899
0.95,6,35.632913
0.95,6,35.653435
0.93,8,35.6798
0.92,9,35.711329
0.94,7,35.738349
0.95,6,35.759366
0.95,6,35.776879
0.93,8,35.804899
0.95,6,35.825413
0.92,9,35.854938
0.95,6,35.877471
0.94,7,35.901488
0.93,8,35.929004
0.94,7,35.953037
0.94,7,35.97556
0.95,6,35.998585
0.95,6,36.019608
0.94,7,36.04213
0.95,6,36.062156
0.95,6,36.082188
0.93,8,36.114251
0.93,8,36.143281
0.94,7,36.165288
0.95,6,36.18531
0.95,6,36.207833
0.95,6,36.226832
0.95,6,36.253357
0.94,7,36.275371
0.95,6,36.297903
0.93,8,36.324422
0.93,8,36.349943
0.93,8,36.378687
0.95,6,36.401206
0.95,6,36.421227
0.94,7,36.443745
0.93,8,36.470773
0.93,8,36.5053
0.95,6,36.525818
0.94,7,36.548841
0.91,10,36.581882
0.94,7,36.611903
0.95,6,36.632923
0.94,7,36.655947
0.95,6,36.675967
0.93,8,36.706494
0.93,8,36.733022
0.95,6,36.75854
0.95,6,36.779067
0.93,8,36.807585
0.93,8,36.834117
0.93,8,36.86264
0.95,6,36.883166
0.95,6,36.906183
0.93,8,36.933211
0.93,8,36.95873
0.94,7,36.981292
0.93,8,37.014819
0.94,7,37.039569
0.94,7,37.062586
0.95,6,37.082603
0.93,8,37.114629
0.94,7,37.141664
0.95,6,37.161679
0.94,7,37.185199
0.95,6,37.208215
0.94,7,37.231736
0.93,8,37.263264
0.95,6,37.283784
0.95,6,37.306817
0.95,6,37.326327
-1.02,3,37.335838
0.93,8,37.362871
-1.01,2,37.37538
0.94,7,37.397906
0.95,6,37.419423
0.93,8,37.44646
0.89,12,37.487493
0.95,6,37.508506
0.91,10,37.541042
0.94,7,37.564562
0.92,9,37.596097
0.85,16,37.655152
0.92,9,37.685182
0.92,9,37.717207
0.93,8,37.746727
0.93,8,37.775766
0.94,7,37.799284
0.95,6,37.821131
0.93,8,37.849654
0.92,9,37.883183
0.95,6,37.902702
0.94,7,37.927729
0.94,7,37.953246
0.92,9,37.984279
0.94,7,38.011306
0.95,6,38.031324
0.89,12,38.066916
0.94,7,38.090427
0.95,6,38.112944
0.95,6,38.135464
0.93,8,38.163513
0.92,9,38.192539
0.95,6,38.214067
0.95,6,38.234584
0.95,6,38.263619
0.95,6,38.28364
0.95,6,38.303149
0.95,6,38.323665
0.95,6,38.34519
0.95,6,38.365213
0.95,6,38.388631
0.94,7,38.417719
0.95,6,38.438734
0.95,6,38.458755
0.95,6,38.478772
0.95,6,38.499299
0.95,6,38.523811
0.95,6,38.544331
0.95,6,38.564351
0.95,6,38.583868
0.95,6,38.605886
-1.03,4,38.620405
0.95,6,38.644423
0.95,6,38.661938
0.95,6,38.680946
0.95,6,38.700966
0.95,6,38.723476
0.93,8,38.750005
0.95,6,38.775029
0.95,6,38.795047
0.95,6,38.81774
0.93,8,38.843772
0.95,6,38.864792
0.95,6,38.886811
0.95,6,38.908331
0.93,8,38.936363
0.94,7,38.960923
0.95,6,38.981074
0.95,6,39.000584
0.95,6,39.0251
0.95,6,39.044122
0.95,6,39.062136
0.93,8,39.086152
0.95,6,39.104661
0.95,6,39.130171
0.95,6,39.151685
0.95,6,39.171715
0.95,6,39.192241
0.95,6,39.211753
0.95,6,39.230769
0.95,6,39.25279
0.95,6,39.276304
0.95,6,39.297819
0.95,6,39.320839
0.95,6,39.340849
0.95,6,39.359864
0.95,6,39.38188
0.93,8,39.410898
0.93,8,39.440465
0.95,6,39.460482
0.95,6,39.482001
0.94,7,39.504017
0.95,6,39.526032
0.95,6,39.545051
0.95,6,39.566571
0.95,6,39.585577
0.95,6,39.605087
0.95,6,39.626106
0.94,7,39.652627
0.94,7,39.676126
0.93,8,39.69764
0.95,6,39.716657
0.95,6,39.74018
0.94,7,39.763686
0.95,6,39.78671
0.95,6,39.806729
0.95,6,39.829748
0.95,6,39.850268
0.95,6,39.870282
0.95,6,39.891301
0.95,6,39.915319
0.95,6,39.935838
0.95,6,39.956358
0.95,6,39.976379
0.95,6,39.997903
0.95,6,40.021697
0.95,6,40.043951
0.95,6,40.069975
0.95,6,40.089985
0.95,6,40.114006
0.95,6,40.137517
0.95,6,40.159533
0.91,10,40.203067
0.95,6,40.227088
0.95,6,40.249597
0.95,6,40.269612
0.95,6,40.297626
0.95,6,40.315133
0.95,6,40.33465
0.95,6,40.354166
0.95,6,40.382194
0.95,6,40.403207
0.95,6,40.419723
0.95,6,40.444741
-1.01,2,40.452253
0.95,6,40.475761
0.95,6,40.508789
0.95,6,40.533813
0.95,6,40.558829
0.95,6,40.583849
0.95,6,40.60787
0.95,6,40.636047
0.95,6,40.662065
0.95,6,40.687582
0.93,8,40.721615
0.95,6,40.749637
0.95,6,40.769656
0.95,6,40.790669
0.93,8,40.813684
0.95,6,40.832197
0.91,10,40.873221
0.95,6,40.890727
0.95,6,40.910736
0.94,7,40.937722
0.95,6,40.965816
0.94,7,40.99233
-1.04,5,41.01085
0.95,6,41.044284
0.94,7,41.080329
0.95,6,41.109837
0.95,6,41.151465
0.92,9,41.203007
0.92,9,41.257512
0.93,8,41.311057
0.94,7,41.340574
0.94,7,41.365588
0.95,6,41.3891
0.95,6,41.410114
0.95,6,41.430615
0.95,6,41.451623
0.95,6,41.479633
0.95,6,41.506148
0.95,6,41.524661
0.95,6,41.548661
0.95,6,41.570182
0.95,6,41.590187
0.93,8,41.621196
0.95,6,41.641699
0.95,6,41.672211
0.95,6,41.692574
0.92,9,41.721463
0.95,6,41.745463
0.95,6,41.768978
0.95,6,41.793502
0.93,8,41.823009
0.95,6,41.842518
0.95,6,41.864041
0.95,6,41.884058
0.94,7,41.91093
0.94,7,41.936943
0.95,6,41.959974
0.95,6,41.981489
0.93,8,42.012513
0.94,7,42.032022
0.95,6,42.061045
0.95,6,42.080561
0.92,9,42.111087
0.94,7,42.142612
0.94,7,42.169631
0.91,10,42.205157
0.88,13,42.248186
0.95,6,42.268203
0.95,6,42.289717
0.94,7,42.315729
0.93,8,42.347252
0.95,6,42.376777
0.95,6,42.397789
0.95,6,42.419807
0.95,6,42.446829
0.95,6,42.471347
0.95,6,42.497279
0.94,7,42.518799
0.95,6,42.539345
0.95,6,42.561362
0.95,6,42.58143
0.95,6,42.601943
0.93,8,42.627966
0.95,6,42.645481
0.95,6,42.668998
0.92,9,42.70002
0.89,12,42.738547
0.89,12,42.78408
0.94,7,42.818107
0.89,12,42.857636
0.92,9,42.887661
0.92,9,42.915815
0.90000004,11,42.959346
0.92,9,42.994873
0.93,8,43.018885
0.90000004,11,43.055919
0.94,7,43.080934
0.95,6,43.102951
0.95,6,43.124467
0.94,7,43.147992
0.95,6,43.176006
0.93,8,43.213032
-1.04,5,43.227037
0.95,6,43.249557
0.95,6,43.279586
0.93,8,43.306609
0.95,6,43.326621
0.93,8,43.354136
0.95,6,43.381663
0.95,6,43.401676
0.95,6,43.421189
0.95,6,43.442705
0.95,6,43.465719
0.95,6,43.484235
0.95,6,43.509263
0.95,6,43.536321
0.95,6,43.568346
0.95,6,43.588361
0.95,6,43.607868
0.95,6,43.632388
