#{"t_start": 1768236100.5253232, "env_id": "None"}
r,l,t
0.8333334,30,30.089134
0.8333334,30,30.187693
0.8333334,30,30.280752
0.8333334,30,30.385318
0.8333334,30,30.488385
0.8333334,30,30.575438
0.6666667,30,30.676007
0.6666667,30,30.776565
-0.5,4,30.789071
0.8333334,30,30.892324
0.5,30,30.992391
0.5,30,31.09239
0.8333334,30,31.188942
0.8333334,30,31.29563
-0.5,4,31.308636
0.8333334,30,31.400196
0.8333334,30,31.499248
1.8333334,30,31.587793
0.8333334,30,31.688352
0.8333334,30,31.786412
0.8333334,30,31.885976
0.8333334,30,31.988542
0.8333334,30,32.086649
-0.5,6,32.107156
1.8333334,28,32.192719
0.8333334,30,32.282279
0.8333334,30,32.379339
0.3333333,30,32.4744
0.5,30,32.567957
0.3333333,30,32.670135
0.6666667,30,32.771681
0.6666667,30,32.874736
0.8333334,30,32.978306
0.8333334,30,33.075865
0.6666667,30,33.169424
0.8333334,30,33.270989
0.8333334,30,33.374555
0.8333334,30,33.461107
-0.8333333,4,33.472114
1.8333334,22,33.545659
0.3333333,30,33.646336
0.6666667,30,33.745397
1.8333334,8,33.771913
0.8333334,30,33.873978
0.8333334,30,33.96708
0.8333334,30,34.056816
1.8333334,10,34.084829
0.5,30,34.177891
0.6666667,30,34.281449
0.8333334,30,34.377502
1.8333334,19,34.431035
0.8333334,30,34.518605
0.6666667,30,34.603151
1.8333334,16,34.652678
0.6666667,30,34.738243
0.8333334,30,34.820787
0.6666667,30,34.915903
0.8333334,30,35.012769
1.8333334,17,35.060325
0.6666667,30,35.149982
0.6666667,30,35.235597
0.6666667,30,35.326226
0.6666667,30,35.420068
0.8333334,30,35.512192
1.8333334,16,35.55676
1.8333334,24,35.630862
1.8333334,15,35.673421
1.8333334,26,35.750519
1.8333334,6,35.768549
1.8333334,22,35.832641
1.8333334,6,35.849155
1.8333334,14,35.892214
1.8333334,12,35.92627
1.8333334,14,35.967832
1.8333334,18,36.022394
1.8333334,13,36.059442
1.8333334,16,36.105509
1.8333334,6,36.126533
1.8333334,12,36.162083
1.8333334,20,36.218663
1.8333334,13,36.258207
-0.8333333,2,36.264717
1.8333334,15,36.304951
1.8333334,7,36.326483
1.8333334,8,36.351007
1.8333334,7,36.374531
1.8333334,9,36.401075
1.8333334,14,36.441619
1.8333334,7,36.461148
1.8333334,9,36.488176
-0.8333333,4,36.498692
0.5,30,36.58481
-0.8333333,4,36.596334
0.8333334,30,36.686462
0.8333334,30,36.774074
1.8333334,13,36.810132
1.8333334,22,36.879212
1.8333334,20,36.939794
-0.5,12,36.973338
0.6666667,30,37.065931
0.6666667,30,37.160922
0.6666667,30,37.251033
0.6666667,30,37.341147
0.6666667,30,37.429267
0.6666667,30,37.51838
0.6666667,30,37.60551
0.8333334,30,37.692855
0.6666667,30,37.780965
0.6666667,30,37.867595
0.8333334,30,37.959223
0.6666667,30,38.046851
0.6666667,30,38.132596
1.8333334,24,38.204204
1.8333334,9,38.230729
1.8333334,12,38.264273
0.6666667,30,38.352397
0.6666667,30,38.441985
1.8333334,9,38.470024
1.8333334,19,38.527594
-2.9802322e-08,30,38.611714
1.8333334,28,38.692863
1.8333334,10,38.722164
1.8333334,20,38.782751
0.8333334,30,38.866832
0.5,30,38.95544
1.8333334,12,38.990779
0.8333334,30,39.086511
0.6666667,30,39.183651
0.6666667,30,39.27575
-0.8333333,4,39.295258
0.6666667,30,39.384869
-0.8333333,2,39.389867
0.6666667,30,39.478698
0.6666667,30,39.566342
0.6666667,30,39.650449
0.6666667,30,39.739057
0.33333334,30,39.827655
0.6666667,30,39.914774
0.6666667,30,40.004377
1.8333334,12,40.038905
0.8333334,30,40.126497
0.8333334,30,40.21675
0.8333334,30,40.305836
0.8333334,30,40.392104
0.6666667,30,40.48018
1.8333334,6,40.498198
0.8333334,30,40.586277
0.8333334,30,40.67186
0.8333334,30,40.754936
0.8333334,30,40.851171
0.8333334,30,40.938249
0.8333334,30,41.022329
1.8333334,18,41.075318
0.8333334,30,41.163027
0.8333334,30,41.250424
0.8333334,30,41.337303
1.8333334,12,41.372337
1.8333334,7,41.393858
1.8333334,7,41.413876
1.8333334,29,41.498951
0.6666667,30,41.584541
1.8333334,11,41.616571
1.8333334,8,41.639091
1.8333334,21,41.702648
1.8333334,9,41.727703
0.8333334,30,41.821464
1.8333334,15,41.863003
1.8333334,7,41.882516
1.8333334,7,41.902035
1.8333334,15,41.950075
1.8333334,6,41.966589
1.8333334,16,42.011121
1.8333334,15,42.056159
-0.5,13,42.098017
1.8333334,7,42.118622
1.8333334,6,42.136128
1.8333334,9,42.161654
1.8333334,8,42.187178
1.8333334,6,42.205193
1.8333334,6,42.221703
1.8333334,14,42.259732
1.8333334,11,42.291757
1.8333334,7,42.314272
1.8333334,7,42.33379
1.8333334,9,42.362315
1.8333334,6,42.381334
1.8333334,10,42.408854
1.8333334,10,42.437389
1.8333334,6,42.455904
1.8333334,8,42.479922
1.8333334,11,42.510445
1.8333334,6,42.526954
1.8333334,6,42.54347
1.8333334,6,42.563987
-0.5,4,42.575994
1.8333334,6,42.593011
1.8333334,10,42.620527
1.8333334,8,42.644556
1.8333334,6,42.661563
1.8333334,6,42.679585
1.8333334,8,42.7026
1.8333334,7,42.723616
1.8333334,6,42.740133
1.8333334,10,42.767151
1.8333334,6,42.783667
1.8333334,6,42.803682
1.8333334,6,42.820696
1.8333334,6,42.837714
-0.8333333,2,42.842214
1.8333334,6,42.861732
1.8333334,6,42.878252
